2015,1,1,18	41
2015,1,1,63	46
2015,1,10,113	61
2015,1,10,58	70269
2015,1,11,121	12
2015,1,11,75	6675
2015,1,12,47	14
2015,1,13,64	39
2015,1,14,100	385
2015,1,14,36	4
2015,1,14,81	15
2015,1,16,70	13
2015,1,17,42	5
2015,1,18,14	33462
2015,1,19,128	17
2015,1,19,31	276
2015,1,2,35	685
2015,1,2,80	6
2015,1,21,120	36
2015,1,21,38	18
2015,1,21,83	1615
2015,1,22,55	1
2015,1,22,6	2
2015,1,23,27	42
2015,1,24,44	33
2015,1,25,16	17
2015,1,25,61	1774
2015,1,26,33	8289
2015,1,27,1	6
2015,1,27,50	2116
2015,1,28,22	294
2015,1,29,127	2
2015,1,3,52	11
2015,1,30,111	3368
2015,1,30,29	5
2015,1,31,46	1921
2015,1,31,91	18024
2015,1,4,109	11672
2015,1,4,24	125
2015,1,5,117	6
2015,1,5,41	100
2015,1,6,125	23186
2015,1,6,13	8
2015,1,7,30	1
2015,1,9,104	31
2015,1,9,97	1218
2015,10,1,76	26
2015,10,10,51	20
2015,10,12,102	83
2015,10,12,40	4
2015,10,13,12	9
2015,10,15,79	504
2015,10,17,68	16
2015,10,18,85	2
2015,10,19,4	1
2015,10,19,57	270
2015,10,2,48	315
2015,10,20,14	29481
2015,10,21,31	366
2015,10,22,101	21
2015,10,23,20	4
2015,10,23,98	13
2015,10,25,7	3114
2015,10,25,87	79
2015,10,26,59	2017
2015,10,27,76	15
2015,10,28,48	165
2015,10,29,65	1277
2015,10,3,65	2363
2015,10,3,7	3537
2015,10,30,22	360
2015,10,4,102	261
2015,10,4,82	3245
2015,10,5,54	4
2015,10,6,26	30
2015,10,6,71	42
2015,10,7,43	2884
2015,10,8,2	11721
2015,11,1,113	38
2015,11,1,75	6285
2015,11,1,8	1
2015,11,10,111	2206
2015,11,10,41	96
2015,11,11,13	3
2015,11,14,97	1923
2015,11,15,69	6
2015,11,16,86	7766
2015,11,17,58	68524
2015,11,18,75	6901
2015,11,19,126	1006
2015,11,19,47	8
2015,11,19,92	2
2015,11,2,121	3
2015,11,2,47	19
2015,11,20,110	1
2015,11,21,21	9480
2015,11,21,99	139
2015,11,23,88	2
2015,11,25,77	1
2015,11,26,-1	12181
2015,11,26,49	62
2015,11,26,94	3
2015,11,27,109	8725
2015,11,27,66	1
2015,11,28,117	4
2015,11,28,38	28
2015,11,28,83	1798
2015,11,29,125	26575
2015,11,29,55	4
2015,11,3,64	29
2015,11,30,12	2
2015,11,4,36	4
2015,11,4,81	22
2015,11,5,100	378
2015,11,6,3	1
2015,11,6,70	50
2015,11,7,42	3
2015,11,8,14	28940
2015,11,9,31	263
2015,12,1,29	1
2015,12,10,31	400
2015,12,12,20	3
2015,12,12,98	36
2015,12,14,7	5496
2015,12,14,87	25
2015,12,15,59	1927
2015,12,16,76	15
2015,12,17,48	276
2015,12,18,65	2088
2015,12,19,2	23597
2015,12,19,82	4468
2015,12,2,111	2307
2015,12,2,46	5443
2015,12,2,91	6269
2015,12,21,11	7
2015,12,21,89	1123
2015,12,24,95	9
2015,12,25,5	1774
2015,12,25,67	785
2015,12,26,126	794
2015,12,26,39	3
2015,12,26,84	29600
2015,12,27,56	12106
2015,12,28,28	12
2015,12,28,73	1
2015,12,29,105	26830
2015,12,29,45	77
2015,12,29,90	18072
2015,12,3,18	5
2015,12,3,63	12
2015,12,31,97	1212
2015,12,4,35	1020
2015,12,4,80	6
2015,12,5,52	46
2015,12,6,24	116
2015,12,7,41	127
2015,12,8,13	3
2015,2,10,48	204
2015,2,11,101	19
2015,2,11,65	1842
2015,2,11,7	6109
2015,2,12,82	5075
2015,2,13,54	6
2015,2,14,26	52
2015,2,14,71	73
2015,2,15,43	4872
2015,2,16,15	2
2015,2,16,2	14064
2015,2,19,108	1035
2015,2,19,21	10257
2015,2,19,99	138
2015,2,2,128	8
2015,2,2,34	430
2015,2,20,56	22588
2015,2,21,100	781
2015,2,21,28	27
2015,2,21,73	2
2015,2,22,45	86
2015,2,22,5	2535
2015,2,22,90	27451
2015,2,24,34	443
2015,2,25,51	9
2015,2,26,128	20
2015,2,26,23	1
2015,2,27,0	11496
2015,2,27,40	15
2015,2,28,12	2
2015,2,3,51	11
2015,2,4,23	1
2015,2,5,0	9842
2015,2,5,40	5
2015,2,6,115	3
2015,2,6,12	2
2015,2,7,123	1
2015,2,8,79	730
2015,3,1,112	1
2015,3,1,16	29
2015,3,1,61	3204
2015,3,10,40	8
2015,3,11,12	3
2015,3,11,6	3
2015,3,13,79	742
2015,3,15,68	22
2015,3,16,1	4
2015,3,16,109	10507
2015,3,16,85	2
2015,3,17,117	13
2015,3,17,57	396
2015,3,18,125	28156
2015,3,18,29	2
2015,3,19,46	5383
2015,3,19,91	8249
2015,3,2,120	39
2015,3,2,33	14076
2015,3,21,20	1
2015,3,21,98	34
2015,3,23,87	36
2015,3,24,59	2087
2015,3,25,76	20
2015,3,26,108	895
2015,3,26,48	253
2015,3,27,116	2
2015,3,27,65	2362
2015,3,28,124	50
2015,3,28,82	4908
2015,3,29,54	12
2015,3,3,1	8
2015,3,3,50	5534
2015,3,30,11	7
2015,3,30,89	1284
2015,3,4,22	358
2015,3,6,11	22
2015,3,6,89	1829
2015,3,9,95	4
2015,4,1,102	115
2015,4,1,2	11749
2015,4,11,104	2
2015,4,11,5	3813
2015,4,12,112	1
2015,4,12,97	1680
2015,4,13,120	38
2015,4,13,69	13
2015,4,14,86	8535
2015,4,15,58	72521
2015,4,16,0	9872
2015,4,16,75	8339
2015,4,17,47	13
2015,4,17,92	2
2015,4,18,19	1
2015,4,18,64	68
2015,4,19,36	10
2015,4,19,81	27
2015,4,21,88	4
2015,4,23,109	13893
2015,4,23,77	1
2015,4,24,-1	25401
2015,4,24,117	10
2015,4,24,49	63
2015,4,25,125	22743
2015,4,26,38	26
2015,4,26,83	3134
2015,4,27,55	1
2015,4,28,104	2
2015,4,28,27	34
2015,4,29,112	2
2015,4,29,44	20
2015,4,30,79	640
2015,4,4,21	9907
2015,4,4,99	186
2015,4,6,88	4
2015,4,8,77	4
2015,4,9,-1	23295
2015,4,9,109	14648
2015,4,9,49	33
2015,4,9,94	1
2015,5,1,14	37270
2015,5,10,121	27
2015,5,10,20	4
2015,5,10,98	51
2015,5,12,87	23
2015,5,13,100	509
2015,5,13,59	2340
2015,5,14,76	15
2015,5,15,48	335
2015,5,16,65	7153
2015,5,17,82	3788
2015,5,18,128	7
2015,5,18,54	5
2015,5,19,26	44
2015,5,19,71	37
2015,5,2,100	877
2015,5,2,31	780
2015,5,20,120	51
2015,5,21,78	2
2015,5,22,2	15752
2015,5,22,95	9
2015,5,23,67	804
2015,5,24,39	2
2015,5,24,84	31936
2015,5,25,56	13695
2015,5,26,28	28
2015,5,26,73	2
2015,5,27,45	40
2015,5,27,90	26167
2015,5,28,127	2
2015,5,29,34	416
2015,5,30,69	9
2015,5,31,86	7442
2015,5,4,20	3
2015,5,4,98	19
2015,5,6,87	42
2015,5,7,128	12
2015,5,7,59	2101
2015,5,8,76	15
2015,5,9,48	518
2015,5,9,93	1
2015,6,1,117	5
2015,6,1,13	5
2015,6,10,101	19
2015,6,10,45	48
2015,6,10,90	27569
2015,6,11,3	4
2015,6,12,34	378
2015,6,13,51	23
2015,6,15,40	7
2015,6,16,12	1
2015,6,18,108	859
2015,6,18,79	571
2015,6,19,116	4
2015,6,2,125	22098
2015,6,20,100	493
2015,6,21,70	24
2015,6,22,1	14
2015,6,22,42	7
2015,6,23,14	32583
2015,6,24,31	356
2015,6,25,128	12
2015,6,26,20	2
2015,6,26,98	13
2015,6,28,87	27
2015,6,29,115	2
2015,6,29,59	1339
2015,6,30,16	16
2015,6,30,61	1321
2015,6,4,97	1178
2015,6,5,69	4
2015,6,6,86	8996
2015,6,7,120	39
2015,6,7,58	55323
2015,6,8,75	6482
2015,6,9,47	10
2015,6,9,92	2
2015,7,10,35	929
2015,7,10,80	2
2015,7,11,2	20745
2015,7,11,52	11
2015,7,12,24	163
2015,7,13,41	140
2015,7,15,109	11725
2015,7,16,117	5
2015,7,17,125	20054
2015,7,17,97	1156
2015,7,18,69	11
2015,7,19,86	8879
2015,7,2,115	5
2015,7,20,43	2699
2015,7,22,0	9406
2015,7,24,21	7872
2015,7,24,99	171
2015,7,25,108	1032
2015,7,26,116	4
2015,7,26,88	13
2015,7,27,124	23
2015,7,28,77	1
2015,7,29,-1	20201
2015,7,29,49	31
2015,7,3,79	373
